Program of Study,9th Grade Courses,10th Grade Courses,11th Grade Courses,12th Grade Courses,Electives,Grad Requirements,Hawaii CC Programs,Honolulu CC Programs,Kapiolani CC Programs,Kauai CC Programs,Leeward CC Programs,UH Maui College Programs,Windward CC Programs,UH Manoa Programs,UH West Oahu Programs,UH Hilo Programs
Entrepreneurship,"English/ Language Arts I,World History and Culture,Algebra 1,Science Elective,Business Core*","English/ Language Arts II,US History and Government,Geometry,Biology,[Insert Any “Cluster”]*","Expository writing,English Elective,Participation in Democracy,Modern History of Hawai‘I,Math Elective,Science Elective,Entrepreneurship Concentration*","English Elective,Social Studies Elective *,Social Studies Elective,Math Elective,Science Elective,Business,Marketing and Finance Capstone Internship Co-op*","PE Lifetime Fitness,PE Elective,Health Today and Tomorrow,Personal Transition Plan,World Language (Recommend more than two years of the same language),Fine Arts","English (4 credits),Social Studies (4 credits),Math (3 credits),Science (3 credits),Health/PE (1.5 credits),Personal Transition Plan (0.5 credits),CTE/JROTC/World Language/Fine Art (2 credits)
","Marketing (Associate in Applied Science),Marketing (Certificate of Achievement),Marketing (Certificate of Competence),Marketing (Certificate of Competence - Business Essentials),Marketing (Certificate of Competence - Business Foundations),Marketing (Certificate of Competence - Entrepreneurship),Marketing (Certificate of Competence - Retail Foundations)",,"Marketing (Associate in Science),Marketing (Certificate of Achievement– Retail Management),Marketing (Certificate of Competence– Customer Service),Marketing (Certificate of Competence– Entrepreneurship),Marketing (Certificate of Competence– Management),Marketing (Certificate of Competence - Retailing)","Business Technology (Associate in Applied Science),Business Technology (Certificate of Achievement),Business Technology (Certificate of Competence)",,Applied Business and Information Technology (Bachelor of Applied Science),,"Business Administration (Minor),Business Administration (Master of Business Administration),Business Administration (Doctorate),Finance (Bachelor of Business Administration),Marketing (Bachelor of Business Administration)",Business Administration (Bachelor of Arts - Marketing; General Business Administration; Finance),"Business Administration (Bachelor of Business Administration),Business Administration (Minor),Business Administration (Certificate)"
Fashion Design,"English/ Language Arts I,World History and Culture,Algebra 1,Science Elective,Arts and Communication Core*","English/ Language Arts II,US History and Government,Geometry,Biology,Fashion Design I Cluster*","Expository writing,English Elective,Participation in Democracy,Modern History of Hawai‘I,Math Elective,Science Elective,Fashion Design II Concentration*","English Elective,Social Studies Electives,Math Elective,Science Elective,Arts and Communication Capstone Internship Co-op*","PE Lifetime Fitness,PE Elective,Health Today and Tomorrow,Personal Transition Plan,World Language (Recommend two or more years of the same language),Fine Arts","English (4 credits),Social Studies (4 credits),Math (3 credits),Science (3 credits),Health/PE (1.5 credits),Personal Transition Plan (0.5 credits),CTE/JROTC/World Language/Fine Art (2 credits)",,Fashion Technology (Associate in Applied Science),,,,"Fashion Technology (Associate in Applied Science),Fashion Technology (Certificate of Achievement),Fashion Technology (Certificate of Completion)",,Fashion and Design Merchandising (Bachelor of Science),,
Engineering Technology,"English/ Language Arts I,World History and Culture,Algebra 1,Science Elective,Industrial and Engineering Technology Core*","English/ Language Arts II,US History and Government,Geometry,Biology,Engineering Technology I Cluster*","Expository writing,English Elective,Participation in Democracy,Modern History of Hawai‘I,Math Elective,Science Elective,Engineering Technology II Cluster*","English Elective,Social Studies Elective,Math Elective,Science Elective,Industrial and Engineering Technology Capstone Internship Co-op*","PE Lifetime Fitness,PE Elective,Health Today and Tomorrow,Personal Transition Plan,World Language (Recommend two years or more of the same language),Fine Arts","English (4 credits),Social Studies (4 credits),Math (3 credits),Science (3 credits),Health/PE (1.5 credits),Personal Transition Plan (0.5 credits),CTE/JROTC/World Language/Fine Art (2 credits)
","Architectural Engineering & CAD Technologies (Associate in Applied Science),Architectural Engineering & CAD Technologies (Certificate of Achievement - Geomatics and GIS; Geospatial Technologies Certificate),Architectural Engineering & CAD Technologies (Certificate of Competence - Sustainable Lot Design and Site Prep)","Architectural Engineering & CAD Technologies (Associate in Applied Science),Architectural Engineering & CAD Technologies (Certificate of Achievement)",,,,"Engineering Technology (Bachelor of Applied Science),Engineering Technology (Associate in Science),Engineering Technology (Certificate of Achievement),Engineering Technology (Certificate of Competence),Electronic & Computer Engineering Technology (Bachelor of Applied Science),Electronic & Computer Engineering Technology (Associate in Science),Electronic & Computer Engineering Technology (Certificate of Achievement),Electronic & Computer Engineering Technology (Certificate of Competence)",,"Civil Engineering (Bachelor of Science),Civil Engineering (Master of Science),Civil Engineering (Doctorate),Electrical Engineering (Bachelor of Science),Electrical Engineering (Master of Science),Electrical Engineering (Doctorate),Mechanical Engineering (Bachelor of Science),Mechanical Engineering (Master of Science),Mechanical Engineering (Doctorate)",,
Hospitality and Tourism,"English/ Language Arts I,World History and Culture,Algebra 1,Science Elective,Public Human Service Core*","English/ Language Arts II,US History and Government,Geometry,Biology,Hospitality and Tourism Cluster*","Expository writing,English Elective,Participation in Democracy,Modern History of Hawai‘I,Math Elective,Science Elective","English Elective,Social Studies Elective *,Social Studies elective,Math Elective,Science Elective,Culinary,Hospitality and Tourism Capstone Internship Co-op*","PE Lifetime Fitness,PE Elective,Health Today and Tomorrow,Personal Transition Plan,World Language (Recommend more than two years of the same language),Fine Arts","English (4 credits),Social Studies (4 credits),Math (3 credits),Science (3 credits),Health/PE (1.5 credits),Personal Transition Plan (0.5 credits),CTE/JROTC/World Language/Fine Art (2 credits)
","Hospitality and Tourism (Associate in Applied Science),Hospitality and Tourism (Certificate of Achievement),Hospitality and Tourism (Certificate of Competence)",,"Hospitality and Tourism (Associate in Science in Hospitality and Tourism - Hospitality Operations Management),Hospitality and Tourism (Associate in Science in Hospitality and Tourism - Travel and Tourism Operations Management),Hospitality and Tourism (Certificate of Achievement - Hospitality Operations Management),Hospitality and Tourism (Certificate of Achievement - Travel and Tourism Operations Management),Hospitality and Tourism (Certificate of Competence - Hospitality Operations),Hospitality and Tourism (Certificate of Competence - Principles of Sustainable Tourism),Hospitality and Tourism (Certificate of Competence - Travel and Tourism Operations)","Hospitality and Tourism (Associate in Applied Science),Hospitality and Tourism (Certificate of Achievement),Hospitality and Tourism (Certificate of Competence)",,"Hospitality and Tourism (Associate in Applied Science),Hospitality and Tourism (Certificate of Achievement),Hospitality and Tourism (Certificate of Competence)",,"Travel Industry Management (Certificate),Travel Industry Management (Bachelor of Science),Travel Industry Management (Master of Science)",Business Administration (Bachelor of Arts - Hospitality and Tourism),International Studies (Certificate - Tourism)
Health Informatics,"English/ Language Arts I,World History and Culture,Algebra 1,Science Elective,Health Services Core*","English/ Language Arts II,US History and Government,Geometry,Biology – CTE Related Academic Requirement*,Clinical Health Cluster*","Expository writing,English Elective,Participation in Democracy,Modern History of Hawai‘I,Math Elective,Science Elective,Health Informatics Cluster*","English Elective,Social Studies Elective,Math Elective,Science Elective,Health Services Capstone Internship,Co-op*","PE Lifetime Fitness,PE Elective,Health Today and Tomorrow,Personal Transition Plan,World Language (Recommend more than two years of the same language),Fine Arts","English (4 credits),Social Studies (4 credits),Math (3 credits),Science (3 credits),Health/PE (1.5 credits),Personal Transition Plan (0.5 credits),CTE/JROTC/World Language/Fine Art (2 credits)
",,,"Medical Assisting (Associate in Science),Medical Assisting (Certificate of Achievement)",Medical Assisting (Certificate of Achievement),"Health Information Technology (Associate of Science),Health Information Technology (Certificate of Achievement),Health Information Technology (Certificate of Competence)","Business Technology (Associate in Applied Science - Information Processing),Business Technology (Associate in Applied Science - Medical Assistant II),Business Technology (Certificate of Achievement),Business Technology (Certificate of Competence - Medical Assistant I)",,,,
Hospitality Services,"English/ Language Arts I,World History and Culture,Algebra 1,Science Elective,Public Human Service Core*","English/ Language Arts II,US History and Government,Geometry,Biology,Hospitality Operations Cluster*","Expository writing,English Elective,Participation in Democracy,Modern History of Hawai‘I,Math Elective,Science Elective","English Elective,Social Studies Elective *,Social Studies elective,Math Elective,Science Elective,Culinary,Hospitality and Tourism Capstone Internship Co-op*","PE Lifetime Fitness,PE Elective,Health Today and Tomorrow,Personal Transition Plan,World Language (Recommend more than two years of the same language),Fine Arts","English (4 credits),Social Studies (4 credits),Math (3 credits),Science (3 credits),Health/PE (1.5 credits),Personal Transition Plan (0.5 credits),CTE/JROTC/World Language/Fine Art (2 credits)
","Hospitality and Tourism (Associate in Applied Science),Hospitality and Tourism (Certificate of Achievement),Hospitality and Tourism (Certificate of Competence)",,"Hospitality and Tourism (Associate in Science in Hospitality and Tourism - Hospitality Operations Management),Hospitality and Tourism (Associate in Science in Hospitality and Tourism - Travel and Tourism Operations Management),Hospitality and Tourism (Certificate of Achievement - Hospitality Operations Management),Hospitality and Tourism (Certificate of Achievement - Travel and Tourism Operations Management),Hospitality and Tourism (Certificate of Competence - Hospitality Operations),Hospitality and Tourism (Certificate of Competence - Principles of Sustainable Tourism),Hospitality and Tourism (Certificate of Competence - Travel and Tourism Operations)","Hospitality and Tourism (Associate in Applied Science),Hospitality and Tourism (Certificate of Achievement),Hospitality and Tourism (Certificate of Competence)",,"Hospitality and Tourism (Associate in Applied Science),Hospitality and Tourism (Certificate of Achievement),Hospitality and Tourism (Certificate of Competence)",,"Travel Industry Management (Certificate),Travel Industry Management (Bachelor of Science),Travel Industry Management (Master of Science)",Business Administration (Bachelor of Arts - Hospitality and Tourism),International Studies (Certificate - Tourism)
Graphic Design Technology,"English/ Language Arts I,World History and Culture,Algebra 1,Science Elective,Arts and Communication Core*","English/ Language Arts II,US History and Government,Geometry,Biology,Design Technology Cluster*","Expository Writing – CTE Related Academic Requirement* and English Elective,Participation in Democracy,Modern History of Hawai‘I,Math Elective,Science Elective,Design Technology Concentration*","English Elective,Social Studies Elective,and,Math Elective (Recommend a 4th year of math),Science Elective (Recommend a 4th year of science),Arts and Communication Capstone Internship Co-op*","PE Lifetime Fitness,PE Elective,Health Today and Tomorrow,Personal Transition Plan,World Language (Recommend two or more years of the same language),Fine Arts","English (4 credits),Social Studies (4 credits),Math (3 credits),Science (3 credits),Health/PE (1.5 credits),Personal Transition Plan (0.5 credits),CTE/JROTC/World Language/Fine Art (2 credits)","Creative Media (Associate in Science),Creative Media (Certificate of Competence)",Communication Arts (Associate in Science),"New Media Arts (Associate in Science - Animation Concentration),New Media Arts (Associate in Science - Interface Design Concentration)","Creative Media (Associate in Science),Creative Media (Certificates)","Digital Media (Associate in Science),Digital Media (Academic Subject Certificate - Creative Media),Digital Media (Academic Subject Certificate - Digital Art; Photo),Digital Media (Certificate of Achievement - Digital Media Production),Digital Media (Certificate of Competence - Digital Media Production; Digital Photography; Digital Video; Graphic Design; Motion Graphics; Web Architecture; Web Design)",Visual Arts (Academic Subject Certificate in Visual Arts),,Creative Media (Bachelor of Arts – Digital Media; Computer Animation; Critical Studies),"Creative Media (Bachelor of Arts in Humanities),Creative Media (Bachelor of Arts in Applied Sciences)",
Forestry,"English/ Language Arts I,World History and Culture,Algebra 1,Science Elective,Natural Resources Core*","English/ Language Arts II,US History and Government,Geometry,Biology CTE Academic Requirement*,Environmental Resource Management Cluster*","Expository writing,English Elective,Participation in Democracy,Modern History of Hawai‘I,Math Elective,Science Elective,Forestry Concentration*","English Elective,Social Studies Elective,Math Elective,Science Elective,Natural Resources Capstone Internship Co-op*","PE Lifetime Fitness,PE Elective,Health Today and Tomorrow,Personal Transition Plan,World Language (Recommend two years or more of the same language),Fine Arts","English (4 credits),Social Studies (4 credits),Math (3 credits),Science (3 credits),Health/PE (1.5 credits),Personal Transition Plan (0.5 credits),CTE/JROTC/World Language/Fine Art (2 credits)","Natural Science (Associate of Science– Biological Sciences),Natural Science (Associate of Science– Physical Science),Tropical Forest Ecosystem and Agroforestry Management (Associate in Science),Tropical Forest Ecosystem and Agroforestry Management (Certificate of Achievement)",,Biotechnician (Certificate of Achievement),"Natural Science (Associate of Science– Biological Sciences),Natural Science (Associate of Science– Physical Science),Plant Biology and Tropical Agriculture (Associate in Science),Plant Biology and Tropical Agriculture (Associate of Arts),Plant Biology and Tropical Agriculture (Certificate of Achievement),Plant Biology and Tropical Agriculture (Certificate of Competence)","Plant Biology and Tropical Agriculture (Associate in Science),Plant Biology and Tropical Agriculture (Certificate of Achievement),Plant Biology and Tropical Agriculture (Certificate of Competence),Plant Biology and Tropical Agriculture (Academic Subject Certificate)","Agriculture and Natural Resources (Associate in Applied Science),Agriculture and Natural Resources (Certificate of Achievement),Agriculture and Natural Resources (Certificate of Competence)","Agripharmatech (Certificate in Achievement),Agriculture Technology (Certificate of Competence– Agriculture Technology; Plant Landscaping),Natural Science (Associate of Science– Biological Sciences),Natural Science (Associate of Science – Physical Science)","Environmental Studies (Bachelor of Arts),Environmental Studies (Certificate),Global Environmental Science (Bachelor of Science),Natural Resources and Environmental Management (Bachelor of Science),Natural Resources and Environmental Management (Master of Science),Natural Resources and Environmental Management (Doctorate),Natural Resources and Environmental Management (Certificate),Plant and Environment Protection Science (Bachelor of Science)",,"Forest Resource Management and Conservation (UCert),Biology (Bachelor of Science - Ecology Evolution and Conservation),Environmental Studies (Bachelor of Science),Tropical Conservation Biology & Environmental Science (Master)"
Marketing,"English/ Language Arts I,World History and Culture,Algebra 1,Science Elective,Business Core*","English/ Language Arts II,US History and Government,Geometry,Biology,Marketing Cluster*","Expository writing,English Elective,Participation in Democracy,Modern History of Hawai‘I,Math Elective,Science Elective","English Elective,Social Studies Elective – Economics is the CTE Related Academic Requirement*,Social Studies Elective,Math Elective,Business Marketing and Finance Capstone Internship Co-op*","PE Lifetime Fitness,PE Elective,Health Today and Tomorrow,Personal Transition Plan,World Language (Recommend more than two years of the same language),Fine Arts","English (4 credits),Social Studies (4 credits),Math (3 credits),Science (3 credits),Health/PE (1.5 credits),Personal Transition Plan (0.5 credits),CTE/JROTC/World Language/Fine Art (2 credits)
","Marketing (Associate in Applied Science),Marketing (Certificate of Achievement),Marketing (Certificate of Competence),Marketing (Certificate of Competence - Business Essentials),Marketing (Certificate of Competence - Business Foundations),Marketing (Certificate of Competence - Entrepreneurship),Marketing (Certificate of Competence - Retail Foundations)",,"Marketing (Associate in Science),Marketing (Certificate of Achievement– Retail Management),Marketing (Certificate of Competence– Customer Service),Marketing (Certificate of Competence– Entrepreneurship),Marketing (Certificate of Competence– Management),Marketing (Certificate of Competence - Retailing)","Business Technology (Associate in Applied Science),Business Technology (Certificate of Achievement),Business Technology (Certificate of Competence)",,Applied Business and Information Technology (Bachelor of Applied Science),,"Business Administration (Minor),Business Administration (Master of Business Administration),Business Administration (Doctorate),Finance (Bachelor of Business Administration),Marketing (Bachelor of Business Administration)",Business Administration (Bachelor of Arts - Marketing; General Business Administration; Finance),"Business Administration (Bachelor of Business Administration),Business Administration (Minor),Business Administration (Certificate)"
Management,"English/ Language Arts I,World History and Culture,Algebra 1,Science Elective,Business Core*","English/ Language Arts II,US History and Government,Geometry,Biology,Management Cluster*","Expository writing,English Elective,Participation in Democracy,Modern History of Hawai‘I,Math Elective,Science Elective","English Elective,Social Studies Elective – Economics is the CTE Related Academic Requirement*,Social Studies Elective,Math Elective,Business Marketing and Finance Capstone Internship Co-op*","PE Lifetime Fitness,PE Elective,Health Today and Tomorrow,Personal Transition Plan,World Language (Recommend two or more years of the same language),Fine Arts","English (4 credits),Social Studies (4 credits),Math (3 credits),Science (3 credits),Health/PE (1.5 credits),Personal Transition Plan (0.5 credits),CTE/JROTC/World Language/Fine Art (2 credits)","Business Technology (Associate in Applied Science),Business Technology (Certificate of Achievement),Business Technology (Certificate of Competence),Business Technology (Certificate of Competence - Virtual Office Assistant)",,,"Business Technology (Associate in Applied Science),Business Technology (Certificate of Achievement),Business Technology (Certificate of Competence)","Management (Associate in Science),Management (Certificate of Achievement),Management (Certificate of Competence– Business Essentials),Management (Certificate of Competence– Business Foundations),Management (Certificate of Competence– Management Essentials),Management (Certificate of Competence– Management Foundations)",Applied Business and Information Technology (Bachelor of Applied Science),,"Business Administration (Minor),Business Administration (Master of Business Administration),Business Administration (Doctorate),Human Resources Management (Bachelor of Business Administration),Human Resources Management (Master of Human Resources Management),Management (Bachelor of Business Administration),Management Information Systems (Bachelor of Business Administration)",Business Administration (Bachelor of Arts - General Business Administration; Management),"Business Administration (Bachelor of Business Administration),Business Administration (Minor),Business Administration (Certificate)"
Medical Biotechnology,"English/ Language Arts I,World History and Culture,Algebra 1,Science Elective,Health Services Core*","English/ Language Arts II,US History and Government,Geometry,Biology – CTE Related Academic Requirement*,Medical Biotechnology Cluster*","Expository writing,English Elective,Participation in Democracy,Modern History of Hawai‘I,Math Elective,Science Elective","English Elective,Social Studies Elective,Math Elective,Science Elective,Health Services Capstone Internship,Co-op*","PE Lifetime Fitness,PE Elective,Health Today and Tomorrow,Personal Transition Plan,World Language (Recommend more than two years of the same language),Fine Arts","English (4 credits),Social Studies (4 credits),Math (3 credits),Science (3 credits),Health/PE (1.5 credits),Personal Transition Plan (0.5 credits),CTE/JROTC/World Language/Fine Art (2 credits)",,,Biotechnician (Certificate of Achievement),,,,,"Biomedical Sciences (Master of Science),Biomedical Sciences (Doctorate)",,
IRC - Early Childhood Education,"English/ Language Arts I,World History and Culture,Algebra 1,Science Elective,Public Human Service Core*","English/ Language Arts II,US History and Government,Geometry,Biology,Explorations in Education Cluster*","Expository Writing,English Elective,Participation in Democracy,Modern History of Hawai‘I,Math Elective,Science Elective,Early Childhood Education Concentration*","English Elective,Psychology – CTE Related Academic Requirement*,Social Studies Elective,Math Elective,Science Elective,Education Capstone Internship Co-op*","PE Lifetime Fitness,PE Elective,Health Today and Tomorrow,Personal Transition Plan,World Language (Recommend two or more years of the same language),Fine Arts","English (4 credits),Social Studies (4 credits),Math (3 credits),Science (3 credits),Health/PE (1.5 credits),Personal Transition Plan (0.5 credits),CTE/JROTC/World Language/Fine Art (2 credits)
","Early Childhood Education (Associate in Science),Early Childhood Education (Certificate of Achievement),Early Childhood Education (Certificate of Competence)","Early Childhood Education (Associate in Science- Infant/ Toddler),Early Childhood Education (Associate in Science- Preschool),Early Childhood Education (Certificate of Achievement - Preschool),Early Childhood Education (Certificate of Competence - Child Development Associate),Early Childhood Education (Certificate of Competence - Early Childhood Education)",,"Early Childhood Education (Associate in Science),Early Childhood Education (Certificate of Achievement),Early Childhood Education (Certificate of Competence)",,"Early Childhood Education (Associate in Science),Early Childhood Education (Certificate of Achievement),Early Childhood Education (Certificate of Competence)",,"Early Childhood & SPED (Bachelor of Education),Elementary & Early Childhood (Bachelor of Education),Curriculum Studies PK-3 School Level (Master of Education),Early Childhood Education (Master of Education)",Education (Bachelor of Arts - Early Childhood),"Education Studies (Certificate),Teaching (Master of Arts),Hawaiian and Indigenous Language Medium Early Education (Certificate),Indigenous Teacher Education (Graduate Certificate),Indigenous Language and Culture Education (Master of Arts)"
Human Resources Management,"English/ Language Arts I,World History and Culture,Algebra 1,Science Elective,Business Core*","English/ Language Arts II,US History and Government,Geometry,Biology,Management Cluster*","Expository writing,English Elective,Participation in Democracy,Modern History of Hawai‘I,Math Elective,Science Elective,Human Resources Management Concentration*","English Elective,Social Studies Elective – Economics is the CTE Related Academic Requirement*,Social Studies Elective,Math Elective,Business Marketing and Finance Capstone Internship Co-op*","PE Lifetime Fitness,PE Elective,Health Today and Tomorrow,Personal Transition Plan,World Language (Recommend two or more years of the same language),Fine Arts","English (4 credits),Social Studies (4 credits),Math (3 credits),Science (3 credits),Health/PE (1.5 credits),Personal Transition Plan (0.5 credits),CTE/JROTC/World Language/Fine Art (2 credits)","Business Technology (Associate in Applied Science),Business Technology (Certificate of Achievement),Business Technology (Certificate of Competence),Business Technology (Certificate of Competence - Virtual Office Assistant)",,Marketing (Certificate of Competence– Management),"Business Technology (Associate in Applied Science),Business Technology (Certificate of Achievement),Business Technology (Certificate of Competence)","Management (Associate in Science),Management (Certificate of Achievement),Management (Certificate of Competence– Business Essentials),Management (Certificate of Competence– Business Foundations),Management (Certificate of Competence– Management Essentials),Management (Certificate of Competence– Management Foundations),Management (Certificate of Competence– Retail Foundations),Management (Certificate of Competence– Sales and Marketing)","Applied Business and Information Technology (Bachelor of Applied Science),Business Technology (Associate in Applied Science– Information Processing),Business Technology (Certificate of Achievement),Business Technology (Certificate of Competence– Virtual Office Assistant)",,"Human Resources Management (Bachelor of Business Administration),Human Resources Management (Master of Human Resources Management),Management (Bachelor of Business Administration)",Business Administration (Bachelor of Arts - Management),
Web Design,"English/ Language Arts I,World History and Culture,Algebra 1,Science Elective,Arts and Communication Core*","English/ Language Arts II,US History and Government,Geometry,Biology,Digital Media Technology Cluster*","Expository Writing – CTE Related Academic Requirement* and English Elective,Participation in Democracy,Modern History of Hawai‘I,Math Elective,Science Elective,Web Design Concentration*","English Elective,Social Studies Elective,and,Math Elective (Recommend a 4th year of math),Science Elective (Recommend a 4th year of science 1.0 – Emphasis on research),Arts and Communication Capstone Internship Co-op*","PE Lifetime Fitness,PE Elective,Health Today and Tomorrow,Personal Transition Plan,World Language (Recommend two or more years of the same language),Fine Arts","English (4 credits),Social Studies (4 credits),Math (3 credits),Science (3 credits),Health/PE (1.5 credits),Personal Transition Plan (0.5 credits),CTE/JROTC/World Language/Fine Art (2 credits)
","Creative Media (Associate in Science),Creative Media (Certificate of Competence)",Communication Arts (Associate in Science),"New Media Arts (Associate in Science - Animation Concentration),New Media Arts (Associate in Science - Interface Design Concentration)","Creative Media (Associate in Science),Creative Media (Certificates)","Digital Media (Associate in Science),Digital Media (Academic Subject Certificate - Creative Media),Digital Media (Academic Subject Certificate - Digital Art; Photo),Digital Media (Certificate of Achievement - Digital Media Production),Digital Media (Certificate of Competence - Digital Media Production; Digital Photography; Digital Video; Graphic Design; Motion Graphics; Web Architecture; Web Design)",Visual Arts (Academic Subject Certificate in Visual Arts),,Creative Media (Bachelor of Arts – Digital Media; Computer Animation; Critical Studies),"Creative Media (Bachelor of Arts in Humanities),Creative Media (Bachelor of Arts in Applied Sciences)",Computer Application Development Specialization (Certificate)
Secondary Education,"English/ Language Arts I,World History and Culture,Algebra 1,Science Elective,Public Human Service Core*","English/ Language Arts II,US History and Government,Geometry,Biology,Explorations in Education Cluster*","Expository Writing,English Elective,Participation in Democracy,Modern History of Hawai‘I,Math Elective,Science Elective,Secondary Education Concentration*","English Elective,Psychology – CTE Related Academic Requirement*,Social Studies Elective,Math Elective,Science Elective,Education Capstone Internship Co-op*","PE Lifetime Fitness,PE Elective,Health Today and Tomorrow,Personal Transition Plan,World Language (Recommend two or more years of the same language),Fine Arts","English (4 credits),Social Studies (4 credits),Math (3 credits),Science (3 credits),Health/PE (1.5 credits),Personal Transition Plan (0.5 credits),CTE/JROTC/World Language/Fine Art (2 credits)
",,,Liberal Arts (Associate in Arts - Concentration in Secondary Education),,"Teaching (Associate in Arts),Technical Teacher Education (Certificate of Achievement),Technical Teacher Education (Certificate of Competence)",,,"Secondary Education (Bachelor of Education),Secondary Education (Post-Baccalaureate Certificate),Health and PE Teacher (Bachelor of Science)",Education (Bachelor of Arts - Secondary Education),"Education Studies (Certificate),Teaching (Master of Arts)"
Plant Systems,"English/ Language Arts I,World History and Culture,Algebra 1,Science Elective,Natural Resources Core*","English/ Language Arts II,US History and Government,Geometry,Biology,Plant Systems I (Cluster)*","Expository writing,English Elective,Participation in Democracy,Modern History of Hawai‘I,Math Elective,Science Elective","English Elective,Social Studies Elective,Math Elective,Science Elective,Natural Resources Capstone Internship (Co-op)","PE Lifetime Fitness,PE Elective,Health Today and Tomorrow,Personal Transition Plan,World Language (Recommend two years or more of the same language),Fine Arts","English (4 credits),Social Studies (4 credits),Math (3 credits),Science (3 credits),Health/PE (1.5 credits),Personal Transition Plan (0.5 credits),CTE/JROTC/World Language/Fine Art (2 credits)","Agriculture (Associate in Applied Science),Agriculture (Certificate of Achievement),Agriculture (Certificate of Competence– Farm Worker; Landscape Worker),Tropical Forest Ecosystem and Agroforestry Management (Associate in Science),Tropical Forest Ecosystem and Agroforestry Management (Certificate of Achievement)",,,"Hawaiian Botany (Certificate of Competence),Plant Biology and Tropical Agriculture (Associate in Science),Plant Biology and Tropical Agriculture (Associate of Arts),Plant Biology and Tropical Agriculture (Certificate of Achievement),Plant Biology and Tropical Agriculture (Certificate of Competence),Plant Biology and Tropical Agriculture (Academic Subject Certificate)","Plant Biology and Tropical Agriculture (Associate in Science),Plant Biology and Tropical Agriculture (Certificate of Achievement),Plant Biology and Tropical Agriculture (Certificate of Competence),Plant Biology and Tropical Agriculture (Academic Subject Certificate)","Agriculture and Natural Resources (Associate in Applied Science),Agriculture and Natural Resources (Certificate of Achievement),Agriculture and Natural Resources (Certificate of Competence)","Agripharmatech (Certificate in Achievement),Agripharmatech (Certificate of Competence- Plant-Food Production and Technology),Agriculture Technology (Certificate of Competence– Agriculture Technology; Plant Landscaping)","Botany (Bachelor of Arts),Botany (Bachelor of Science),Botany (Minor),Botany (Master of Science),Botany (Doctorate),Plant and Environment Protection Science (Bachelor of Science),Tropical Plant Pathology (Master of Science),Tropical Plant Pathology (Doctorate),Tropical Plant and Soil Sciences (Bachelor of Science),Tropical Plant and Soil Sciences (Master of Science),Tropical Plant and Soil Sciences (Doctorate),Tropical Plant and Soil Sciences (Minor),Tropical Plant and Soil Sciences (Certificate)",,"Agriculture (Bachelor of Science - Tropical Horticulture; Tropical Plant Science and Agroecology),Biology (Bachelor of Science - Ecology Evolution and Conservation),Tropical Conservation Biology & Environmental Science (Master of Science)"
Travel Industry Management,"English/ Language Arts I,World History and Culture,Algebra 1,Science Elective,Business Core*","English/ Language Arts II,US History and Government,Geometry,Biology,Management Cluster*","Expository writing,English Elective,Participation in Democracy,Modern History of Hawai‘I,Math Elective,Science Elective,Travel Industry Management Concentration*","English Elective,Social Studies Elective – Economics is the CTE Related Academic Requirement*,Social Studies Elective,Math Elective,Business Marketing and Finance Capstone Internship Co-op*","PE Lifetime Fitness,PE Elective,Health Today and Tomorrow,Personal Transition Plan,World Language (Recommend two or more years of the same language),Fine Arts","English (4 credits),Social Studies (4 credits),Math (3 credits),Science (3 credits),Health/PE (1.5 credits),Personal Transition Plan (0.5 credits),CTE/JROTC/World Language/Fine Art (2 credits)","Hospitality and Tourism (Associate in Applied Science),Hospitality and Tourism (Certificate of Achievement),Hospitality and Tourism (Certificate of Competence)",,"Hospitality and Tourism (Associate in Science in Hospitality and Tourism - Hospitality Operations Management),Hospitality and Tourism (Associate in Science in Hospitality and Tourism - Travel and Tourism Operations Management),Hospitality and Tourism (Certificate of Achievement - Hospitality Operations Management),Hospitality and Tourism (Certificate of Achievement - Travel and Tourism Operations Management),Hospitality and Tourism (Certificate of Competence - Hospitality Operations),Hospitality and Tourism (Certificate of Competence - Principles of Sustainable Tourism),Hospitality and Tourism (Certificate of Competence - Travel and Tourism Operations)","Hospitality and Tourism (Associate in Applied Science),Hospitality and Tourism (Certificate of Achievement),Hospitality and Tourism (Certificate of Competence)",,"Hospitality and Tourism (Associate in Applied Science),Hospitality and Tourism (Certificate of Achievement),Hospitality and Tourism (Certificate of Competence)",,"Travel Industry Management (Certificate),Travel Industry Management (Bachelor of Science),Travel Industry Management (Master of Science)",Business Administration (Bachelor of Arts - Hospitality and Tourism),International Studies (Certificate - Tourism)
